Category,Nutrient Data Bank Number,Alpha Carotene,Ash,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Lutein and Zeaxanthin,Lycopene,Manganese,Niacin,Pantothenic Acid,Protein,Refuse Percentage,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamin A - IU,Vitamin A - RAE,Vitamin B12,Vitamin B6,Vitamin C,Vitamin E,Vitamin K
BEEF JERKY,19002,0,6.8,0,0,11,48,109,1.799999952,410,0,0,0.111,1.732,0.163,33.2,0,0,0.142,10.7,9,0.154,23.36,11.305,1.011,10.85,25.6,20,0.227,5.42,51,407,597,2213,8.11,0,0,0.99,0.179,0,0.49,2.3
BEEF POT PIE,22529,0,1.26,0,0,22.05,21,20,0.800000012,220,0,0,0.207,1.633,0.145,7.25,0,0,0.087,5.3,0,0.197,58.05,5.312,1.462,4.149,11.39,14,0.03,1.25,13,67,115,365,1.1,0,0,0.32,0.133,0.3,0.26,2.7
BEEF SAUSAGE,7954,11,3.16,11,11,0.03,83,43,0,405,0,15,0.042,3.21,0.401,15.5,0,23,0.117,0,0,0.028,43.75,16.387,0.879,15.098,37.57,15,0.066,1.53,13,185,234,910,2.92,114,25,2.03,0.192,0.7,0.49,2.1
BEEF STEW,22905,356,1.47,811,19,6.77,16,16,1.5,95,215,3,0.143,1.231,0.214,4.94,0,0,0.061,0.7,0.959999979,0.072,81.51,2.38,0.22,2.22,5.38,12,0.079,0.71,14,55,174,408,0.82,1664,88,0.37,0.129,4.4,0.12,3.5
BEERWURST,7002,0,2.5,0,0,3.76,62,67,0.899999976,277,0,0,0.155,2.975,0.297,14,0,3,0.173,17.4,0,0.246,56.71,10.105,2.08,8.438,22.53,27,0.103,1.73,19,135,244,732,2.21,10,3,1.16,0.23,0.6,0.19,1.3
BEET GREENS,11086,3,2.33,3794,0,4.33,0,0,3.700000048,22,1503,0,0.391,0.4,0.25,2.2,44,0,0.22,0.9,0.5,0.1,91.02,0.026,0.046,0.02,0.13,117,0.191,2.57,70,41,762,226,0.38,6326,316,0,0.106,30,1.5,400
BEET GRNS,11087,4,2.64,4590,0,5.46,0,0,2.900000095,27,1819,0,0.514,0.499,0.329,2.57,0,0,0.289,0.9,0.600000024,0.117,89.13,0.038,0.07,0.031,0.2,114,0.251,1.9,68,41,909,241,0.5,7654,383,0,0.132,24.9,1.81,484
BEETS,11080,0,1.08,20,0,9.56,0,6,2.799999952,43,0,0,0.329,0.334,0.155,1.61,33,0,0.04,0.7,6.760000229,0.031,87.58,0.032,0.06,0.027,0.17,16,0.075,0.8,23,40,325,78,0.35,33,2,0,0.067,4.9,0.04,0.2
BETTY CROCKER,22700,0,7,0,0,64.3,9,0,0,395,0,0,0,0,0,11,0,0,0,0,0,0,7.3,0,0,2.82,10.4,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,0
BEVERAGE,43078,0,8.2,39,0,52.9,14,107,1.600000024,329,0,0,0,1.25,0,23.5,0,243,0.34,14.3,51.29999924,0.11,12.8,0.332,0.06,2.059,2.6,880,0.8,7.7,200,150,2200,780,3.6,875,246,2.39,0.11,1.2,0.05,0.2
BF,13096,0,1.08,0,0,0,126,0,0,265,0,0,0.009,7.209,0.523,26.58,8,0,0.117,28.9,0,0.066,55.87,6.863,0.622,6.506,16.76,18,0.088,1.8,22,201,326,53,4.79,0,0,1.75,0.53,0,0.47,1.7
BISCUIT,18014,0,3.3,0,0,43.27,1,0,0.699999988,322,8,0,0.438,3.308,0.346,6.66,0,2,0.29,8,7.400000095,0.391,33.15,8.226,0.854,3.519,13.63,51,0.09,2.48,17,470,162,999,0.5,8,2,0.05,0.063,0,0.69,6.2
BISCUITS,18009,0,2.2,0,0,48.5,1,9,1.299999952,365,9,0,0.392,3.352,0.3,6.2,0,0,0.292,18.8,3.480000019,0.427,26.7,6.906,6.209,2.49,16.5,49,0.083,3.3,17,430,224,1052,0.48,2,0,0.14,0.047,0,1.32,4.1
BISON,17148,0,1.02,0,0,0,71,97,0,179,0,0,0,5.966,0,25.45,0,0,0.264,31.1,0,0.139,65.09,3.293,0.402,3.489,8.62,14,0.151,3.19,23,213,353,76,5.34,0,0,2.44,0.401,0,0.2,1.3
BLACKBERRIES,9042,0,0.37,128,0,9.61,0,8,5.300000191,43,118,0,0.646,0.646,0.276,1.39,4,0,0.026,0.4,4.880000114,0.02,88.15,0.047,0.28,0.014,0.49,29,0.165,0.62,20,22,162,1,0.53,214,11,0,0.03,21,1.17,19.8
BLACKBERRY JUC,9043,0,0.4,74,0,7.8,0,7,0.100000001,38,68,0,0,0.446,0,0.3,0,0,0.018,0.3,7.699999809,0.012,90.9,0.058,0.344,0.018,0.6,12,0.114,0.48,21,12,135,1,0.41,123,6,0,0.021,11.3,0.9,15.2
BLUEBERRIES,9050,0,0.24,32,0,14.49,0,6,2.400000095,57,80,0,0.336,0.418,0.124,0.74,5,0,0.041,0.1,9.960000038,0.037,84.21,0.047,0.146,0.028,0.33,6,0.057,0.28,6,12,77,1,0.16,54,3,0,0.052,9.7,0.57,19.3
BLUEFISH,15005,0,1.04,0,0,0,59,0,0,124,0,0,0.021,5.95,0.828,20.04,0,120,0.08,36.5,0,0.058,70.86,1.793,1.06,0.915,4.24,7,0.053,0.48,33,227,372,60,0.81,398,120,5.39,0.402,0,0,0
BOLOGNA,7007,6,3.29,11,11,3.98,56,46,0,311,0,11,0.044,2.515,0.406,10.27,0,11,0.099,0,0,0.026,54.26,12.218,0.776,11.134,28.19,31,0.068,1.1,14,172,172,1080,9.1,70,13,1.27,0.17,15.2,0.35,1.7
BORAGE,11613,0,1.44,0,0,3.06,0,0,0,21,0,0,0.349,0.9,0.041,1.8,20,0,0.15,0.9,0,0.06,93,0.211,0.109,0.17,0.7,93,0.13,3.3,52,53,470,80,0.2,4200,210,0,0.084,35,0,0
BOYSENBERRIES,9056,0,0.32,0,0,22.31,0,0,2.599999905,88,0,0,0.25,0.23,0.131,0.99,0,0,0.029,0.4,0,0.026,76.26,0.012,0.068,0.004,0.12,18,0.07,0.43,11,10,90,3,0.19,40,2,0,0.038,6.2,0,0
BRATWURST,7013,0,2.8,0,0,2.85,74,94,0,333,0,0,0.014,4.795,0.666,13.72,0,2,0.307,39.7,0,0.459,51.45,14.692,2.632,9.998,29.18,28,0.104,0.53,21,208,348,846,3.25,6,2,0.73,0.327,0,0.26,3.4
BRAUNSCHWEIGER (A LIVER SAUSAGE),7014,0,3.3,0,0,3.1,180,256,0,327,0,0,0.155,8.368,3.38,14.5,0,4220,1.525,58,0,0.249,50.6,12.731,3.193,9.307,28.5,9,0.24,11.2,11,168,199,1160,2.81,14051,4220,20.09,0.33,0,0.35,1.6
BRAZILNUTS,12078,0,3.51,0,0,12.27,0,29,7.5,656,0,0,1.223,0.295,0.184,14.32,49,0,0.035,1917,2.329999924,0.617,3.48,24.548,20.577,15.137,66.43,160,1.743,2.43,376,725,659,3,4.06,0,0,0,0.101,0.7,5.73,0
BREAD,18019,0,1,102,0,54.6,43,0,1.100000024,326,0,0,0.209,1.446,0.268,4.3,0,97,0.2,12.1,0,0.172,29.2,4.48,3.13,2.237,10.5,21,0.072,1.4,14,58,134,302,0.35,493,106,0.1,0.15,1.7,0,0
BREAD CRUMBS,18079,0,2.87,0,0,71.98,0,15,4.5,395,0,0,0.919,6.634,0.552,13.35,0,0,0.403,25.2,6.199999809,0.967,6.51,1.023,2.06,1.203,5.3,183,0.255,4.83,43,165,196,732,1.45,0,0,0.35,0.121,0,0.08,6.6
BREAD STICKS,18080,0,3.9,1,0,68.4,0,15,3,412,65,0,0.557,5.281,0.54,12,0,0,0.553,37.5,1.25999999,0.589,6.1,3.568,3.628,1.41,9.5,22,0.188,4.28,32,121,124,657,0.88,0,0,0,0.073,0,1.01,2.2
BREAD STUFFING,18081,0,5.2,1,0,76.2,1,15,3.200000048,386,72,0,0.594,5.766,0.398,11,0,0,0.404,48,8.270000458,0.596,4.2,1.493,0.713,0.845,3.4,97,0.238,3.81,40,141,246,1590,0.93,2,0,0.02,0.152,0,0.38,1.1
BREADFRUIT,9059,0,0.93,0,0,27.12,0,10,4.900000095,103,22,0,0.06,0.9,0.457,1.07,22,0,0.03,0.6,11,0.11,70.65,0.034,0.066,0.048,0.23,17,0.084,0.54,25,30,490,2,0.12,0,0,0,0.1,29,0.1,0.5
BREADFRUIT SEEDS,12001,0,1.5,0,0,29.24,0,0,5.199999809,191,0,0,0.142,0.438,0.877,7.4,32,0,0.301,0,0,0.482,56.27,0.712,2.977,1.509,5.59,36,1.148,3.67,54,175,941,25,0.9,256,13,0,0.32,6.6,0,0
BREADNUTTREE SEEDS,12004,0,1.76,0,0,46.28,0,0,0,217,0,0,0.178,0.88,1.103,5.97,0,0,0.055,0,0,0.055,45,0.126,0.527,0.267,0.99,98,1.444,2.09,68,67,1183,31,1.13,248,12,0,0.403,27.4,0,0
BREAKFAST BAR,43595,0,0.8,0,0,72.9,0,34,2.099999905,377,40,0,0,13.5,0,4.4,0,608,1.1,15,35.09999847,1,14.5,5,0.9,1.5,7.5,41,0.1,4.86,27,103,197,167,4.1,2027,608,0,1.4,0,0.76,13.8
BREAKFAST BARS,43100,0,1.8,91,0,66.7,0,28,3.099999905,464,107,0,0,1.75,0,9.8,0,0,0.11,16,27.52000046,0.28,4.1,1.933,1.634,12.69,17.6,60,0.36,3.18,101,277,326,278,1.6,152,8,0,0.35,1,0.82,15.9
BREAKFAST BURRITO,22679,0,1.4,0,0,28.1,194,0,1.399999976,214,0,0,0,0,0,9.7,0,0,0,0,0,0,53.8,2.1,1.82,2.01,7,0,0,3.2,0,0,0,409,0,0,0,0,0,0,0,0
BREAKFAST ITEMS,21005,0,2.56,39,3,21.05,161,98,0.200000003,312,102,0,0.138,2.467,0.939,11.13,0,39,0.263,22.6,0.949999988,0.282,44.48,9.985,2.967,6.449,20.77,51,0.244,1.9,13,312,149,672,0.9,198,43,0.75,0.068,0,0.95,4.4
